year,area,latitude,longitude,outbreak,file_name,study
1978,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1978,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1979,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1979,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1980,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1980,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1981,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1981,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1982,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1982,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1983,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1983,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1984,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1984,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1985,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1985,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1986,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1986,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1987,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1987,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1988,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1988,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1989,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1909,south of 50th parallel,47.6038321,-122.330062,0,Elliot 1960.pdf,5
1910,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1911,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1912,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1913,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1914,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1915,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1916,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1917,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
